date,sentiment_bucket,classification,trades,active_accounts,total_size_usd,avg_trade_size_usd,gross_pnl,fees,net_pnl,realized_trades,long_trades,short_trades,exposure_proxy,win_rate,long_short_ratio,pnl_per_trade,pnl_per_realized_trade,drawdown_proxy
2023-05-01,Greed,Greed,3,1,477.0,159.0,0.0,0.0,0.0,0,3,0,1.8270553759098846,,,0.0,,0.0
2023-12-05,Greed,Extreme Greed,9,1,50005.83,5556.203333333334,0.0,12.501455,-12.501455,0,7,2,1.8798672880690512,,3.5,0.0,,0.0
2023-12-14,Greed,Greed,11,1,113203.35,10291.213636363636,-205.43473700000007,28.300831000000002,-233.73556800000003,6,7,4,1.6609297294017835,0.6666666666666666,1.75,-18.675885181818188,-34.23912283333335,-205.43473700000007
2023-12-15,Greed,Greed,2,1,10609.95,5304.975,-24.632033999999997,2.652489,-27.284523,2,0,2,1.2956179195014543,0.0,0.0,-12.316016999999999,-12.316016999999999,-24.632033999999997
2023-12-16,Greed,Greed,3,1,15348.77,5116.256666666667,0.0,3.8371890000000004,-3.8371890000000004,0,3,0,1.2766437405232285,,,0.0,,0.0
2023-12-17,Greed,Greed,14,1,116278.02,8305.572857142857,304.982785,29.069499,275.91328599999997,11,14,0,1.964693893694025,0.6363636363636364,,21.78448464285714,27.725707727272724,0.0
2023-12-18,Greed,Greed,2,1,31164.179999999997,15582.089999999998,0.0,7.791045,-7.791045,0,2,0,0.0005595188713047521,,,0.0,,0.0
2023-12-19,Greed,Greed,15,1,91602.41,6106.827333333334,1000.5386120000001,22.900596,977.638016,10,15,0,3.386514849338868,1.0,,66.70257413333334,100.0538612,0.0
2023-12-20,Greed,Greed,18,1,141636.79,7868.710555555556,162.732282,35.409187,127.323095,8,18,0,1.9879356770781227,1.0,,9.040682333333333,20.34153525,0.0
2023-12-21,Greed,Greed,49,1,125233.97,2555.795306122449,537.211402,31.308469,505.902933,27,49,0,3.677736895355003,0.9629629629629629,,10.963498000000001,19.896718592592592,0.0
2023-12-22,Greed,Greed,10,1,88874.28,8887.428,141.832675,22.218566000000003,119.61410899999998,2,10,0,2.2871725235921696,1.0,,14.1832675,70.9163375,0.0
2023-12-23,Greed,Greed,13,1,78438.25,6033.711538461538,146.936704,19.609555,127.327149,8,13,0,2.5439401475286276,1.0,,11.302823384615383,18.367088,0.0
2023-12-24,Greed,Greed,39,1,402954.94,10332.177948717948,1008.619956,100.738715,907.881241,17,32,7,3.9668397092223824,0.8823529411764706,4.571428571428571,25.862050153846155,59.330585647058825,0.0
2023-12-25,Greed,Greed,3,1,59948.51,19982.836666666666,-245.081348,14.987124999999999,-260.068473,1,3,0,0.5175056738955585,0.0,,-81.69378266666666,-245.081348,-245.081348
2023-12-27,Greed,Greed,28,1,171411.06,6121.823571428571,-704.8892269999999,42.852747,-747.741974,13,28,0,2.09487025380301,0.3076923076923077,,-25.174615249999995,-54.222248230769225,-704.8892269999999
2023-12-28,Greed,Greed,23,1,100117.25,4352.923913043478,-970.730876,25.0293,-995.760176,13,23,0,2.493632016791817,0.0,,-42.20569026086957,-74.67160584615384,-970.730876
2023-12-29,Greed,Greed,50,1,569559.72,11391.1944,508.92214299999995,142.389901,366.532242,20,37,13,1.235982595769392,0.75,2.8461538461538463,10.178442859999999,25.446107149999996,0.0
2023-12-30,Greed,Greed,52,1,702550.21,13510.58096153846,354.998648,175.637526,179.36112199999997,33,35,17,4.476250762430893,0.696969696969697,2.0588235294117645,6.826897076923077,10.757534787878788,0.0
2024-01-01,Greed,Greed,18,1,264239.52999999997,14679.973888888888,-129.53146,66.059867,-195.59132699999998,6,14,4,1.0000000741422475,0.16666666666666666,3.5,-7.196192222222223,-21.58857666666667,-129.53146
2024-01-02,Greed,Greed,17,1,121348.74,7138.1611764705885,783.979116,30.337176,753.64194,9,0,17,2.130776930895959,0.8888888888888888,0.0,46.11641858823529,87.10879066666666,0.0
2024-01-03,Greed,Greed,67,1,394499.36,5888.050149253731,866.015507,98.624811,767.390696,35,67,0,2.419552384287344,0.8,,12.925604582089552,24.7433002,0.0
2024-01-04,Greed,Greed,5,1,99792.54000000001,19958.508,-67.60364,24.948132,-92.551772,3,5,0,35.1261080713633,0.0,,-13.520728,-22.534546666666667,-67.60364
2024-01-05,Greed,Greed,66,1,1703942.66,25817.31303030303,164.141565,425.985639,-261.844074,23,42,24,1.0000000347713454,0.5652173913043478,1.75,2.486993409090909,7.136589782608696,0.0
2024-01-06,Greed,Greed,22,1,298521.4,13569.154545454547,135.58166400000002,74.630342,60.95132200000004,12,19,3,3.7714999271782332,0.8333333333333334,6.333333333333333,6.16280290909091,11.298472000000002,0.0
2024-01-07,Greed,Greed,97,1,1048850.06,10812.887216494846,-835.681235,262.212464,-1097.893699,37,79,18,2.3089523975500414,0.24324324324324326,4.388888888888889,-8.615270463917525,-22.585979324324324,-835.681235
2024-01-08,Greed,Greed,128,1,1522452.43,11894.159609375,-269.874439,380.613064,-650.4875030000002,67,81,47,5.747206369554602,0.47761194029850745,1.7234042553191489,-2.1083940546875,-4.027976701492538,-269.874439
2024-01-09,Greed,Extreme Greed,70,1,870051.97,12429.313857142857,-826.349863,204.012928,-1030.3627910000002,28,50,20,1.0940205945612473,0.6428571428571429,2.5,-11.804998042857143,-29.512495107142858,-826.349863
2024-01-10,Greed,Greed,193,1,2057479.48,10660.515440414507,-1517.091342,434.044865,-1951.136207,83,103,90,4.864972286670292,0.4939759036144578,1.1444444444444444,-7.860576901554404,-18.278208939759036,-1517.091342
2024-01-11,Greed,Extreme Greed,21,2,305314.1,14538.766666666666,-164.08950099999998,75.867171,-239.95667199999997,9,12,9,0.9999999435905964,0.5555555555555556,1.3333333333333333,-7.813785761904761,-18.232166777777778,-164.08950099999998
2024-01-12,Greed,Greed,7,1,200082.27,28583.181428571428,-1925.519024,49.480726999999995,-1974.999751,2,7,0,1.0000000752300364,0.0,,-275.0741462857143,-962.759512,-1925.519024
2024-01-15,Neutral,Neutral,14,2,50636.1,3616.8642857142854,152.85358,12.652712,140.200868,9,14,0,40.71944277711085,1.0,,10.918112857142857,16.983731111111112,0.0
