Account,date,sentiment_bucket,trades,realized_trades,total_size_usd,avg_trade_size_usd,gross_pnl,net_pnl,fees,long_trades,short_trades,exposure_proxy,win_rate,long_short_ratio,pnl_per_trade
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,Greed,177,0,900880.13,5089.718248587571,0.0,-167.796055,167.796055,0,177,100.0,,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,Greed,68,0,542413.1799999999,7976.664411764705,0.0,-67.883615,67.883615,0,68,58.727454909819635,,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,Greed,40,0,949380.0,23734.5,0.0,-94.93798300000002,94.93798300000002,0,40,100.0,,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,Greed,12,12,338240.0,28186.666666666668,-21227.0,-21260.823995,33.823995,0,12,74.96714997599557,0.0,0.0,-1768.9166666666667
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,Greed,27,12,465700.0,17248.14814814815,1603.1,1498.4775100000002,104.62249,0,27,14.357581310826045,1.0,0.0,59.37407407407407
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,Greed,82,82,1316799.98,16058.536341463414,-132271.0,-132402.679967,131.679967,0,82,100.0,0.0,0.0,-1613.060975609756
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,Greed,23,0,1116918.77,48561.68565217392,0.0,-390.921553,390.921553,0,23,53.53118655222127,,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,Greed,33,33,1212299.96,36736.36242424243,-175611.00005600002,-175732.230048,121.229992,0,33,100.0,0.0,0.0,-5321.545456242425
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,Greed,465,112,5306093.62,11410.954021505377,71393.964098,70613.627658,780.33644,0,465,100.0,0.20535714285714285,0.0,153.53540666236557
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,Greed,51,28,479429.99,9400.588039215687,40218.599998,40194.628505,23.971493,0,51,100.0,1.0,0.0,788.5999999607843
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,Greed,10,9,1858470.0,185847.0,76710.0,76617.076504,92.923496,0,10,4.131532304830239,1.0,0.0,7671.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,Fear,839,371,19794543.66,23593.019856972587,101011.685664,98656.64736799999,2355.038296,571,268,100.0,0.6900269541778976,2.1305970149253732,120.39533452205006
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,Greed,531,111,5616220.88,10576.687156308852,375620.270243,374916.070873,704.19937,0,531,100.0,0.7477477477477478,0.0,707.3828064839925
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,Neutral,210,78,5582863.31,26585.06338095238,44400.9058,43700.804223,700.101577,0,210,100.0,1.0,0.0,211.43288476190477
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,Neutral,141,132,1432708.93,10161.056241134751,30897.0887,30897.0887,0.0,0,141,100.0,1.0,0.0,219.12828865248227
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,Fear,48,16,1537560.0,32032.5,55086.0,55086.0,0.0,0,48,100.0,1.0,0.0,1147.625
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,Neutral,6,0,807600.01,134600.00166666668,0.0,0.0,0.0,0,6,48.85438040050293,,0.0,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,Neutral,59,31,1603504.46,27178.041694915253,10152.12224,9590.895707,561.226533,0,59,100.0,1.0,0.0,172.06986847457628
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,Fear,219,93,2898197.14,13233.776894977169,115445.395538,114889.506777,555.888761,0,219,100.0,1.0,0.0,527.1479248310502
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,Fear,55,1,1372739.97,24958.908545454546,115287.0,115149.726025,137.273975,0,55,100.0,1.0,0.0,2096.1272727272726
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,Fear,45,36,134360.89,2985.797555555556,9482.221441,9475.503421,6.71802,0,45,100.0,1.0,0.0,210.7160320222222
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,Fear,641,540,5365898.24,8371.136099843994,533974.662903,533706.368278,268.294625,0,641,100.0,1.0,0.0,833.0337954804993
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,Neutral,5,4,398200.0,79640.0,40200.0,40160.180002,39.819998,0,5,28.81496506081626,1.0,0.0,8040.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,Fear,31,31,666240.85,21491.640322580646,307855.80341,307789.17934000003,66.62407,0,31,100.0,1.0,0.0,9930.832368064515
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,Greed,55,46,135847.3,2469.9509090909087,11715.94323,11681.26240601,34.68082399,8,47,13.22276753368421,1.0,0.1702127659574468,213.01714963636365
